Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Power_inlet_vertical","Wurth-694106402002",-0.450000,0.958661,90.000000,bottom
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",0.650001,1.501430,90.000000,top
"C1","C_0805_0.1uf","C_0805_2012Metric",2.800000,3.040157,90.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",2.900000,3.040157,90.000000,top
"C3","C_0805_22pf","C_0805_2012Metric",3.250000,2.258661,0.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",2.500000,2.258661,180.000000,top
"C5","C_0805_0.1uf","C_0805_2012Metric",1.050000,3.040157,0.000000,top
"C6","C_0805_1uf","C_0805_2012Metric",0.300000,0.625197,-90.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",0.466535,0.358661,0.000000,top
"C8","C_0805_1uf","C_0805_2012Metric",4.400000,2.175197,90.000000,top
"C9","C_0805_0.1uf","C_0805_2012Metric",4.500000,2.175197,90.000000,top
"D1","LED_0805","LED_0805_2012Metric",3.000000,3.040157,-90.000000,top
"DS1","LED_Display_1001","Adafruit-1001-0-0-MFG",2.750000,1.758661,90.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",1.650000,3.190157,-90.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",1.600000,2.790157,180.000000,top
"J4","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",2.499803,3.190157,-90.000000,top
"J5","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",3.100197,2.440157,90.000000,top
"R1","R_0805_10K","R_0805_2012Metric",2.100000,2.358661,90.000000,top
"R2","R_0805_47","R_0805_2012Metric",1.250000,3.006693,-90.000000,top
"R3","R_0805_47","R_0805_2012Metric",1.350000,3.006693,-90.000000,top
"R4","R_0805_2.2K","R_0805_2012Metric",3.000000,3.190157,90.000000,top
"R5","R_0805_4.7K","R_0805_2012Metric",1.450000,0.758661,180.000000,top
"R6","R_0805_4.7K","R_0805_2012Metric",1.450000,0.858661,0.000000,top
"R7","R_0805_22K","R_0805_2012Metric",4.500000,2.008661,-90.000000,top
"R8","PhotoconductivePhotocell","R_LDR_4.9x4.2mm_P2.54mm_Vertical",1.333465,2.008661,90.000000,top
"R9","R_0805_100K","R_0805_2012Metric",1.300000,2.258661,180.000000,top
"R10","R_0805_10K","R_0805_2012Metric",4.650000,0.608661,90.000000,top
"R11","R_0805_10K","R_0805_2012Metric",4.150000,0.608661,90.000000,top
"R12","R_0805_10K","R_0805_2012Metric",3.650000,0.608661,90.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",0.700000,2.940157,180.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.400000,0.758661,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.900000,0.742126,0.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",3.400000,0.742126,0.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",2.100394,2.590551,90.000000,top
"U2","L7805","TO-252-2",0.600000,0.558661,0.000000,top
"U3","MAX7219","DIP-24_W7.62mm",3.899803,1.559055,90.000000,top
"U4","DS1307_DIP-8","DIP-8_W7.62mm",1.949606,0.559055,180.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",2.882677,2.258661,180.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",2.100000,0.607874,90.000000,top
